SA Param,R,batch_d_rt,batch_c_rt,vd,vc,Lower bound,Upper bound,Optimality Gap,Status,Objective
vd,0.95,21,31,11.0,0.0,17.7118472723337,17.7118472723337,0.0,optimal,17.711847272333692
vd,0.95,21,31,12.0,0.0,17.169844322514,17.169844322514,0.0,optimal,17.16984432251403
vd,0.95,21,31,13.0,0.0,16.6427029447759,16.6427029447759,0.0,optimal,16.64270294477593
vd,0.95,21,31,14.0,0.0,16.1273645231304,16.1273645231304,0.0,optimal,16.127364523130407
vd,0.95,21,31,15.0,0.0,15.6728977467444,15.6728977467444,0.0,optimal,15.672897746744413
vd,0.95,21,31,16.0,0.0,15.234212307458,15.234212307458,0.0,optimal,15.234212307457982
vd,0.95,21,31,17.0,0.0,14.7955268681716,14.7955268681716,0.0,optimal,14.795526868171548
vd,0.95,21,31,18.0,0.0,14.3568414288851,14.3568414288851,0.0,optimal,14.35684142888511
vd,0.95,21,31,19.0,0.0,13.9181559895987,13.9181559895987,0.0,optimal,13.91815598959868
vd,0.95,21,31,20.0,0.0,13.4908391180037,13.4908391180037,0.0,optimal,13.490839118003686
vd,0.95,21,31,25.0,0.0,11.6605336145693,11.6605336145693,0.0,optimal,11.660533614569314
vd,0.95,21,31,30.0,0.0,10.3031236277152,10.3031236277152,0.0,optimal,10.303123627715209
vd,0.95,21,31,35.0,0.0,8.98583243441084,8.98583243441084,0.0,optimal,8.985832434410835
vd,0.95,21,31,40.0,0.0,7.70311243462255,7.70311243462255,0.0,optimal,7.70311243462254
vd,0.95,21,31,45.0,0.0,6.63642150544453,6.63642150544453,0.0,optimal,6.6364215054445275
vd,0.95,21,31,50.0,0.0,5.75776536252067,5.75776536252067,0.0,optimal,5.757765362520663
vc,0.95,21,31,0.0,0.0,25.5329754918699,25.5329754918699,0.0,optimal,25.532975491869905
vc,0.95,21,31,0.0,0.25,25.3133304784413,25.3133304784413,0.0,optimal,25.31333047844129
vc,0.95,21,31,0.0,0.5,25.0936854650127,25.0936854650127,0.0,optimal,25.093685465012673
vc,0.95,21,31,0.0,0.75,24.8742472098917,24.8742472098917,0.0,optimal,24.874247209891696
vc,0.95,21,31,0.0,1.0,24.6549681951082,24.6549681951082,0.0,optimal,24.654968195108218
vc,0.95,21,31,0.0,1.25,24.4356891803247,24.4356891803247,0.0,optimal,24.435689180324726
vc,0.95,21,31,0.0,1.5,24.2164101655412,24.2164101655412,0.0,optimal,24.21641016554124
vc,0.95,21,31,0.0,1.75,23.9971311507577,23.9971311507577,0.0,optimal,23.99713115075776
vc,0.95,21,31,0.0,2.0,23.7778521359743,23.7778521359743,0.0,optimal,23.777852135974268
vc,0.95,21,31,0.0,2.25,23.5659423501666,23.5659423501666,0.0,optimal,23.565942350166576
vc,0.95,21,31,0.0,2.5,23.3576432947369,23.3576432947369,0.0,optimal,23.357643294736928
vc,0.95,21,31,0.0,2.75,23.1528031965156,23.1528031965156,0.0,optimal,23.15280319651559
vc,0.95,21,31,0.0,3.0,22.9489986568096,22.9489986568096,0.0,optimal,22.94899865680958
vc,0.95,21,31,0.0,3.25,22.7462483299452,22.7462483299452,0.0,optimal,22.746248329945217
vc,0.95,21,31,0.0,3.5,22.5495601068016,22.5495601068016,0.0,optimal,22.549560106801632
vc,0.95,21,31,0.0,3.75,22.3534423811517,22.3534423811517,0.0,optimal,22.35344238115168
vc,0.95,21,31,0.0,4.0,22.1575097545669,22.1575097545669,0.0,optimal,22.157509754566888
