dum,t,solar,wind
764,764,0,0.211232365
765,765,0,0.244614108
766,766,0,0.400240664
767,767,0,0.301941909
768,768,0,0.481908714
769,769,0,0.677560166
770,770,0,0.912941909
771,771,0,0.865427386
772,772,0,0.845360996
773,773,0,0.877705394
774,774,0,0.920190871
775,775,0,0.929340249
776,776,0,0.928950207
777,777,0,0.932224066
778,778,0.29722,0.882804979
779,779,0.31898,0.932124481
780,780,0.35756,0.561987552
781,781,0.53228,0.744580913
782,782,0.84474,0.90820332
783,783,0.56514,0.932688797
784,784,0.41062,0.931195021
785,785,0.40154,0.927058091
786,786,0.6864,0.914850622
787,787,0.15964,0.932219917
788,788,0,0.933128631
789,789,0,0.933921162
790,790,0,0.934294606
791,791,0,0.934261411
792,792,0,0.934232365
793,793,0,0.934099585
794,794,0,0.932439834
795,795,0,0.933792531
796,796,0,0.933983402
797,797,0,0.934219917
798,798,0,0.934311203
799,799,0,0.933912863
800,800,0,0.934149378
801,801,0,0.934012448
802,802,0.0754,0.934153527
803,803,0.24554,0.921746888
804,804,0.28572,0.88686722
805,805,0.3007,0.851307054
806,806,0.37856,0.904626556
807,807,0.29814,0.929323651
808,808,0.30818,0.918037344
809,809,0.71964,0.906871369
810,810,0.64054,0.927958506
811,811,0.2898,0.908311203
812,812,0,0.927556017
813,813,0,0.934244813
814,814,0,0.931157676
815,815,0,0.934207469
816,816,0,0.934261411
817,817,0,0.934307054
818,818,0,0.933858921
819,819,0,0.913219917
820,820,0,0.797634855
821,821,0,0.827900415
822,822,0,0.49393361
823,823,0,0.364842324
824,824,0,0.059390041
825,825,0,0.017921162
826,826,0.01762,0.025925311
827,827,0.06628,0.024170124
828,828,0.22792,0.054829876
829,829,0.37174,0.155863071
830,830,0.27574,0.456244813
831,831,0.21284,0.670128631
832,832,0.6572,0.75560166
833,833,0.47156,0.862767635
834,834,0.6006,0.933477178
835,835,0.16662,0.934340249
836,836,0,0.934427386
837,837,0,0.934215768
838,838,0,0.91613278
839,839,0,0.934327801
840,840,0,0.934033195
841,841,0,0.934410788
842,842,0,0.932626556
843,843,0,0.928842324
844,844,0,0.86566805
845,845,0,0.898543568
846,846,0,0.928692946
847,847,0,0.925116183
848,848,0,0.916186722
849,849,0,0.924912863
850,850,0.02118,0.878892116
851,851,0.11114,0.718962656
852,852,0.2635,0.919809129
853,853,0.25782,0.499261411
854,854,0.28732,0.406593361
855,855,0.28492,0.440124481
